trade_id,market_id,token_id,outcome,entry_date,exit_date,entry_price,exit_price,size,pnl,return_pct,holding_period_days,reason
128,1397302,4075708620742083911866255135186815415653229606276849996846845693321760561725,Yes,2026-02-27,2026-02-28,0.375,0.375,1.0,0.0,0.0,1,Market resolved
129,1397270,33494367347551331946342435103439941845098826775268607415622273267276026227499,Yes,2026-02-27,2026-02-28,0.85,0.87,1.0,0.020000000000000018,2.35294117647059,1,Market resolved
130,1006892,34254338241290516754163779889987574790033932358499741518448025208727830568442,Yes,2026-02-28,2026-03-01,0.185,0.26,1.0,0.07500000000000001,40.54054054054055,1,Market resolved
131,1249612,28193180481221014942741393856832109250523811339963257781930169422323363802311,Yes,2026-02-28,2026-03-01,0.0005,0.0005,1.0,0.0,0.0,1,Market resolved
132,1397269,114468956885837791763133096171160084172573639956674841968893238888916122258220,Yes,2026-02-28,2026-03-01,0.65,0.67,1.0,0.020000000000000018,3.0769230769230793,1,Market resolved
133,1397302,4075708620742083911866255135186815415653229606276849996846845693321760561725,Yes,2026-02-28,2026-03-01,0.385,0.385,1.0,0.0,0.0,1,Market resolved
134,1397270,33494367347551331946342435103439941845098826775268607415622273267276026227499,Yes,2026-02-28,2026-03-01,0.855,0.86,1.0,0.0050000000000000044,0.5847953216374274,1,Market resolved
135,1006892,34254338241290516754163779889987574790033932358499741518448025208727830568442,Yes,2026-03-01,2026-03-02,0.2,0.225,1.0,0.024999999999999994,12.499999999999996,1,Market resolved
136,1249612,28193180481221014942741393856832109250523811339963257781930169422323363802311,Yes,2026-03-01,2026-03-02,0.0005,0.0005,1.0,0.0,0.0,1,Market resolved
137,1397269,114468956885837791763133096171160084172573639956674841968893238888916122258220,Yes,2026-03-01,2026-03-02,0.63,0.695,1.0,0.06499999999999995,10.31746031746031,1,Market resolved
138,1397302,4075708620742083911866255135186815415653229606276849996846845693321760561725,Yes,2026-03-01,2026-03-02,0.375,0.425,1.0,0.04999999999999999,13.33333333333333,1,Market resolved
139,1397270,33494367347551331946342435103439941845098826775268607415622273267276026227499,Yes,2026-03-01,2026-03-02,0.87,0.87,1.0,0.0,0.0,1,Market resolved
140,1006892,34254338241290516754163779889987574790033932358499741518448025208727830568442,Yes,2026-03-02,2026-03-03,0.255,0.21,1.0,-0.04500000000000001,-17.647058823529417,1,Market resolved
141,1397269,114468956885837791763133096171160084172573639956674841968893238888916122258220,Yes,2026-03-02,2026-03-03,0.67,0.76,1.0,0.08999999999999997,13.432835820895516,1,Market resolved
142,1397302,4075708620742083911866255135186815415653229606276849996846845693321760561725,Yes,2026-03-02,2026-03-03,0.385,0.44,1.0,0.05499999999999999,14.285714285714285,1,Market resolved
143,1397270,33494367347551331946342435103439941845098826775268607415622273267276026227499,Yes,2026-03-02,2026-03-03,0.865,0.875,1.0,0.010000000000000009,1.1560693641618507,1,Market resolved
144,1006892,34254338241290516754163779889987574790033932358499741518448025208727830568442,Yes,2026-03-03,2026-03-04,0.225,0.195,1.0,-0.03,-13.333333333333334,1,Market resolved
145,1397269,114468956885837791763133096171160084172573639956674841968893238888916122258220,Yes,2026-03-03,2026-03-04,0.695,0.745,1.0,0.050000000000000044,7.1942446043165535,1,Market resolved
146,1397302,4075708620742083911866255135186815415653229606276849996846845693321760561725,Yes,2026-03-03,2026-03-04,0.425,0.355,1.0,-0.07,-16.47058823529412,1,Market resolved
147,1397270,33494367347551331946342435103439941845098826775268607415622273267276026227499,Yes,2026-03-03,2026-03-04,0.87,0.875,1.0,0.0050000000000000044,0.5747126436781614,1,Market resolved
148,1006892,34254338241290516754163779889987574790033932358499741518448025208727830568442,Yes,2026-03-04,2026-03-05,0.21,0.195,1.0,-0.014999999999999986,-7.142857142857137,1,Market resolved
149,1397269,114468956885837791763133096171160084172573639956674841968893238888916122258220,Yes,2026-03-04,2026-03-05,0.76,0.725,1.0,-0.03500000000000003,-4.605263157894741,1,Market resolved
150,1397302,4075708620742083911866255135186815415653229606276849996846845693321760561725,Yes,2026-03-04,2026-03-05,0.44,0.455,1.0,0.015000000000000013,3.4090909090909123,1,Market resolved
151,1397270,33494367347551331946342435103439941845098826775268607415622273267276026227499,Yes,2026-03-04,2026-03-05,0.875,0.87,1.0,-0.0050000000000000044,-0.571428571428572,1,Market resolved
152,1006892,34254338241290516754163779889987574790033932358499741518448025208727830568442,Yes,2026-03-05,2026-03-06,0.205,0.155,1.0,-0.04999999999999999,-24.39024390243902,1,Market resolved
153,1397269,114468956885837791763133096171160084172573639956674841968893238888916122258220,Yes,2026-03-05,2026-03-06,0.705,0.72,1.0,0.015000000000000013,2.1276595744680873,1,Market resolved
154,1397302,4075708620742083911866255135186815415653229606276849996846845693321760561725,Yes,2026-03-05,2026-03-06,0.36,0.415,1.0,0.05499999999999999,15.277777777777777,1,Market resolved
155,1397270,33494367347551331946342435103439941845098826775268607415622273267276026227499,Yes,2026-03-05,2026-03-06,0.875,0.865,1.0,-0.010000000000000009,-1.142857142857144,1,Market resolved
156,1397269,114468956885837791763133096171160084172573639956674841968893238888916122258220,Yes,2026-03-06,2026-03-07,0.72,0.725,1.0,0.0050000000000000044,0.6944444444444451,1,Market resolved
157,1397302,4075708620742083911866255135186815415653229606276849996846845693321760561725,Yes,2026-03-06,2026-03-07,0.435,0.38,1.0,-0.05499999999999999,-12.643678160919539,1,Market resolved
158,1397270,33494367347551331946342435103439941845098826775268607415622273267276026227499,Yes,2026-03-06,2026-03-07,0.87,0.865,1.0,-0.0050000000000000044,-0.5747126436781614,1,Market resolved
159,1397269,114468956885837791763133096171160084172573639956674841968893238888916122258220,Yes,2026-03-07,2026-03-08,0.72,0.715,1.0,-0.0050000000000000044,-0.6944444444444451,1,Market resolved
160,1397302,4075708620742083911866255135186815415653229606276849996846845693321760561725,Yes,2026-03-07,2026-03-08,0.415,0.375,1.0,-0.03999999999999998,-9.638554216867465,1,Market resolved
161,1397270,33494367347551331946342435103439941845098826775268607415622273267276026227499,Yes,2026-03-07,2026-03-08,0.865,0.865,1.0,0.0,0.0,1,Market resolved
162,1397269,114468956885837791763133096171160084172573639956674841968893238888916122258220,Yes,2026-03-08,2026-03-09,0.725,0.715,1.0,-0.010000000000000009,-1.3793103448275874,1,Market resolved
163,1397302,4075708620742083911866255135186815415653229606276849996846845693321760561725,Yes,2026-03-08,2026-03-09,0.38,0.295,1.0,-0.08500000000000002,-22.368421052631586,1,Market resolved
164,1397270,33494367347551331946342435103439941845098826775268607415622273267276026227499,Yes,2026-03-08,2026-03-09,0.865,0.865,1.0,0.0,0.0,1,Market resolved
165,1006892,34254338241290516754163779889987574790033932358499741518448025208727830568442,Yes,2026-03-09,2026-03-10,0.055,0.125,1.0,0.07,127.2727272727273,1,Market resolved
166,1397269,114468956885837791763133096171160084172573639956674841968893238888916122258220,Yes,2026-03-09,2026-03-10,0.715,0.715,1.0,0.0,0.0,1,Market resolved
167,1397302,4075708620742083911866255135186815415653229606276849996846845693321760561725,Yes,2026-03-09,2026-03-10,0.38,0.285,1.0,-0.09500000000000003,-25.000000000000007,1,Market resolved
168,1397270,33494367347551331946342435103439941845098826775268607415622273267276026227499,Yes,2026-03-09,2026-03-10,0.865,0.865,1.0,0.0,0.0,1,Market resolved
169,1006892,34254338241290516754163779889987574790033932358499741518448025208727830568442,Yes,2026-03-10,2026-03-11,0.06,0.13,1.0,0.07,116.66666666666667,1,Market resolved
170,1397269,114468956885837791763133096171160084172573639956674841968893238888916122258220,Yes,2026-03-10,2026-03-11,0.715,0.685,1.0,-0.029999999999999916,-4.195804195804184,1,Market resolved
171,1397302,4075708620742083911866255135186815415653229606276849996846845693321760561725,Yes,2026-03-10,2026-03-11,0.295,0.275,1.0,-0.019999999999999962,-6.77966101694914,1,Market resolved
172,1397270,33494367347551331946342435103439941845098826775268607415622273267276026227499,Yes,2026-03-10,2026-03-11,0.865,0.865,1.0,0.0,0.0,1,Market resolved
173,1397269,114468956885837791763133096171160084172573639956674841968893238888916122258220,Yes,2026-03-11,2026-03-12,0.715,0.68,1.0,-0.03499999999999992,-4.895104895104884,1,Market resolved
174,1397302,4075708620742083911866255135186815415653229606276849996846845693321760561725,Yes,2026-03-11,2026-03-12,0.285,0.285,1.0,0.0,0.0,1,Market resolved
175,1397270,33494367347551331946342435103439941845098826775268607415622273267276026227499,Yes,2026-03-11,2026-03-12,0.865,0.875,1.0,0.010000000000000009,1.1560693641618507,1,Market resolved
176,1397269,114468956885837791763133096171160084172573639956674841968893238888916122258220,Yes,2026-03-12,2026-03-13,0.685,0.68,1.0,-0.0050000000000000044,-0.7299270072992706,1,Market resolved
177,1397302,4075708620742083911866255135186815415653229606276849996846845693321760561725,Yes,2026-03-12,2026-03-13,0.275,0.28,1.0,0.0050000000000000044,1.8181818181818195,1,Market resolved
178,1397270,33494367347551331946342435103439941845098826775268607415622273267276026227499,Yes,2026-03-12,2026-03-13,0.865,0.87,1.0,0.0050000000000000044,0.5780346820809253,1,Market resolved
179,1397269,114468956885837791763133096171160084172573639956674841968893238888916122258220,Yes,2026-03-13,2026-03-14,0.68,0.68,1.0,0.0,0.0,1,Market resolved
