trade_id,market_id,token_id,outcome,entry_date,exit_date,entry_price,exit_price,size,pnl,return_pct,holding_period_days,reason
81,683089,60488902674473050211843463932908484926083641603441768057818400110548846188807,Yes,2025-11-15,2025-12-31,0.91,0.9995,1.0,0.08950000000000002,9.835164835164838,46,Market resolved
82,677241,22742757925994222116968596799260457361293460955867135539842333857821872492476,Yes,2025-11-17,2025-12-31,0.925,0.9995,1.0,0.07450000000000001,8.054054054054054,44,Market resolved
83,677242,105316293757527054774428741383649784062287550707670287790464284632789278387507,Yes,2025-11-18,2025-12-31,0.945,0.9995,1.0,0.054500000000000104,5.767195767195778,43,Market resolved
84,689333,18729035716759676774021249491101960970210391098907710277410406611560302342129,Yes,2025-11-18,2025-12-31,0.94,0.9995,1.0,0.05950000000000011,6.329787234042565,43,Market resolved
85,689334,22430779608640844869478869834145121785869644571939529293396385809435440475990,Yes,2025-11-18,2025-12-31,0.9745,0.9995,1.0,0.025000000000000022,2.5654181631605972,43,Market resolved
86,689336,44855594363898378909960893802118390566206852526747334102012948419826147522186,Yes,2025-11-18,2025-12-31,0.985,0.9995,1.0,0.014500000000000068,1.4720812182741188,43,Market resolved
87,677243,74195765242726888704863300346447349853246647705037721131561187325615795716272,Yes,2025-11-19,2025-12-31,0.905,0.9995,1.0,0.09450000000000003,10.441988950276246,42,Market resolved
88,687300,34672003187176043633625603276681026297927090832081038356553913015887120181153,Yes,2025-11-19,2025-12-31,0.985,0.9995,1.0,0.014500000000000068,1.4720812182741188,42,Market resolved
89,689649,101126654856325123612035595967102169246859713356692109057604063837712748502264,Yes,2025-11-19,2025-12-31,0.915,0.9995,1.0,0.08450000000000002,9.23497267759563,42,Market resolved
90,688155,2570394156270250296833975617447727532509140036944625378455454371785704894109,Yes,2025-11-20,2025-12-31,0.9395,0.9995,1.0,0.06000000000000005,6.386375731772224,41,Market resolved
91,677244,28239643919300349663213325280857855082558595943018965661456566599877080385537,Yes,2025-11-21,2025-12-31,0.92,0.9995,1.0,0.07950000000000002,8.641304347826088,40,Market resolved
92,677245,12459070607884956322897196766651345841789215930935350005695645561360720851523,Yes,2025-11-21,2025-12-31,0.915,0.9995,1.0,0.08450000000000002,9.23497267759563,40,Market resolved
93,669973,38280833538866775380943128268337495596710205598932745051452559773202531143551,Yes,2025-11-22,2025-12-31,0.9745,0.9995,1.0,0.025000000000000022,2.5654181631605972,39,Market resolved
94,687532,82366195462339299186507431204674010773842576543134085238169811485204859205540,Yes,2025-11-22,2025-12-31,0.985,0.9995,1.0,0.014500000000000068,1.4720812182741188,39,Market resolved
95,676640,6760076093735785748691834907195989034251923110246211296250210121642715247950,Yes,2025-11-23,2025-12-31,0.9975,0.9995,1.0,0.0020000000000000018,0.20050125313283226,38,Market resolved
96,683118,36037889443922497617164822112472575920053714134707660338654006728625099998771,Yes,2025-11-24,2025-12-31,0.93,0.9995,1.0,0.0695,7.473118279569893,37,Market resolved
