trade_id,market_id,token_id,outcome,entry_date,exit_date,entry_price,exit_price,size,pnl,return_pct,holding_period_days,reason
24,898159,3119760031120958705843529270064962176720937828875798014181121266232765388997,Yes,2025-12-31,2026-03-16,0.5,0.9995,-2000,-999.0,0.0,75,End of backtest
25,898161,38296826053500141041724479975322399443591190341342887183011139164710696478226,Yes,2025-12-31,2026-03-16,0.5,0.9995,2000,999.0,99.9,75,End of backtest
26,898163,23679931368334342893071577194931182044999778140190940664855595297505326324190,Yes,2025-12-31,2026-03-16,0.505,0.9995,1980,979.1100000000002,97.92079207920796,75,End of backtest
27,836172,32432459940507998323638682470363630517417934717529537086008978208849847718766,Yes,2025-12-31,2026-03-16,0.64,0.9995,1562,561.539,56.17187499999999,75,End of backtest
28,948958,102959890468928530190954086704155483076852880798676895426376704430618826404382,Yes,2026-01-01,2026-03-16,0.29,0.185,3448,-362.03999999999996,-36.206896551724135,74,End of backtest
29,951218,59676131845955485062154196689406562532316355189668080522960520507377902204545,Yes,2026-01-01,2026-03-16,0.615,0.155,1626,-747.96,-74.79674796747969,74,End of backtest
30,955803,99458027721381617987598118641283719950846567208102891698957892589894489507170,Yes,2026-01-01,2026-03-16,0.495,0.19,2020,-616.0999999999999,-61.61616161616161,74,End of backtest
31,1087503,105715430858890614552250403108976721646556993435996945187911182697741104751575,Yes,2026-01-02,2026-03-16,0.73,0.9995,1370,369.21500000000003,36.917808219178085,73,End of backtest
32,1087885,32462260748980243500462603266146503653746491669229191904606878150457533418396,Yes,2026-01-02,2026-03-16,0.625,0.9995,1600,599.2,59.92000000000001,73,End of backtest
33,949493,72902726884699850978994485999351956746728455432234001140689757304247177712068,Yes,2026-01-07,2026-03-16,0.51,0.0055,-1961,989.3245000000001,0.0,68,End of backtest
34,674924,22975511828890610961989937819858714417521657947520093255705856810676541890170,Yes,2026-01-14,2026-03-16,0.965,0.9995,-1036,-35.74199999999996,0.0,61,End of backtest
35,1183484,18587215234758251872599620157924791689138008007479238371882394433308142815095,Yes,2026-01-14,2026-03-16,0.5,0.9995,-2000,-999.0,0.0,61,End of backtest
