trade_id,market_id,token_id,outcome,entry_date,exit_date,entry_price,exit_price,size,pnl,return_pct,holding_period_days,reason,trade_type,pair_id,spread_level,spread_velocity,vol_zscore,regime_factor,volume,leg,entry_spread,exit_spread
27,503012,65249051401503175604508646331001702166951197618261082797725172313066177225315,No,2024-07-22,2024-07-22,0.97,0.975,0.1,0.0005000000000000004,0.5154639175257736,0,Close spread widening: Take profit: Spread widened 1.5139,,,,,,,,near,0.15093318844197157,1.664823715474796
28,502991,38083543270307574477098000554864957888779858086871876227130893338070513447822,No,2024-07-23,2024-07-23,0.9575,0.975,0.1,0.0017500000000000016,1.8276762402088789,0,Spread widening: vol_drought (z=-1.50) + spread_velocity=-0.2581,widening,11314_502990_502991,-2.6575980829735215,0.031115637016478712,-1.4988111747686508,0.85,113951.66,far,,
29,503012,65249051401503175604508646331001702166951197618261082797725172313066177225315,No,2024-07-22,2024-07-23,0.975,0.975,0.1,0.0,0.0,1,Spread widening: vol_drought (z=-1.50) + spread_velocity=0.5706,widening,11314_502989_503012,3.5798343140048168,-0.5151640552949139,-47.499999999998835,0.85,77859.97,far,,
30,503012,65249051401503175604508646331001702166951197618261082797725172313066177225315,No,2024-07-23,2024-07-23,0.9745,0.9795,0.1,0.0005000000000000004,0.5130836326321194,0,Close spread widening: Take profit: Spread widened 2.2295,,,,,,,,near,-0.1854592210238195,2.0440285894567154
31,503012,65249051401503175604508646331001702166951197618261082797725172313066177225315,No,2024-07-23,2024-07-23,0.984,0.9795,0.1,-0.0004499999999999921,-0.4573170731707236,0,Spread widening: vol_drought (z=-1.50) + spread_velocity=0.9287,widening,11314_503012_503012,2.321080996567879,0.928675908795522,-1.4988111747686508,0.85,77859.97,far,,
32,502997,8911356256318736217058459430272638324327126209455594066311435023730434307000,No,2024-07-23,2024-07-24,0.943,0.9575,0.1,0.0014500000000000068,1.5376458112407283,1,Close spread widening: Take profit: Spread widened 2.4242,widening,11314_502991_502997,-7.718720013934853,-0.258088146710515,-1.4988111747686508,0.85,94087.67,far,,
33,503012,65249051401503175604508646331001702166951197618261082797725172313066177225315,No,2024-07-24,2024-07-24,0.984,0.983,0.1,-0.00010000000000000286,-0.10162601626016551,0,Close spread widening: Stop loss: Spread compressed -2.9038,,,,,,,,near,2.321080996567879,-0.5827142925908717
34,502989,11400089529616752876714309587228188890559624862971038405622038342521522419521,No,2024-07-23,2024-07-24,0.974,0.974,0.1,0.0,0.0,1,Spread widening: vol_drought (z=-0.87) + spread_velocity=-0.1850,,,,,,,,near,3.433817729122694,-0.8598130093513419
35,503012,65249051401503175604508646331001702166951197618261082797725172313066177225315,No,2024-07-24,2024-07-25,0.983,0.983,0.1,0.0,0.0,1,Close spread widening: Take profit: Spread widened 0.8419,widening,11314_502989_503012,4.083910173574033,-0.1850040599533845,-0.8656336257034148,0.85,77859.97,far,,
36,502990,26585925072707996383630659428942681130017196781837546708391257107621044303094,No,2024-07-24,2024-08-31,0.97,0.9995,0.1,0.002950000000000008,3.04123711340207,38,Market resolved,,,,,,,,near,-2.6575980829735215,1.7524460162892623
37,502991,38083543270307574477098000554864957888779858086871876227130893338070513447822,No,2024-07-24,2024-08-31,0.9755,0.9995,0.1,0.0023999999999999994,2.460276781137877,38,Market resolved,,,,,,,,near,-7.718720013934853,-5.294500198636371
38,502989,11400089529616752876714309587228188890559624862971038405622038342521522419521,No,2024-07-25,2024-08-31,0.972,0.9995,0.1,0.0027500000000000024,2.8292181069958873,37,Market resolved,,,,,,,,near,4.083910173574033,4.92585198445839
39,506675,82377517889295379292048890072168535444934954295457363412079441713889872338273,No,2024-09-10,2024-09-10,0.935,0.94,0.1,0.0004999999999999866,0.5347593582887556,0,Close spread compression: Stop loss: Spread widened 0.1273,compression,11265_506675_506675,1.46177994888793,0.20882570698399,2.928571428571428,1.0,37841.869795,near,,
40,506676,42754101381716043850714373161869652993540042258500399930684501118279217017900,No,2024-09-10,2024-09-10,0.945,0.9505,0.1,0.0005500000000000088,0.5820105820105914,0,Close spread compression: Take profit: Spread compressed -1.7387,compression,11265_506676_506676,1.9241464172010794,0.24811958327110922,2.928571428571428,1.0,28076.289844,near,,
41,506676,42754101381716043850714373161869652993540042258500399930684501118279217017900,No,2024-09-10,2024-09-10,0.951,0.9525,0.1,0.00014999999999999736,0.1577287066246029,0,Spread compression: vol_spike (z=2.93) + spread_widening (Δ=0.1932),,,,,,,,far,1.9241464172010794,0.18540768386159812
42,506676,42754101381716043850714373161869652993540042258500399930684501118279217017900,No,2024-09-10,2024-09-10,0.9515,0.9525,0.1,9.999999999998899e-05,0.10509721492379294,0,Close spread compression: Take profit: Spread compressed -0.7610,compression,11265_506676_506676,0.3804825120631534,0.027596168251405522,2.928571428571428,1.0,28076.289844,near,,
43,506677,102861251382274424169759496044332990497711245941192352480270314909365364729981,No,2024-09-10,2024-09-10,0.3555,0.781,0.1,0.042550000000000004,119.69057665260199,0,Close spread compression: Take profit: Spread compressed -15.1408,compression,11265_506677_506677,19.712598977927065,2.8666368960701982,2.928571428571428,1.0,78960.889402,near,,
44,506677,102861251382274424169759496044332990497711245941192352480270314909365364729981,No,2024-09-10,2024-09-10,0.8295,0.83,0.1,4.999999999999449e-05,0.06027727546714224,0,Spread compression: vol_spike (z=2.93) + spread_widening (Δ=0.4075),,,,,,,,far,19.712598977927065,4.571769109359625
45,506677,102861251382274424169759496044332990497711245941192352480270314909365364729981,No,2024-09-10,2024-09-10,0.8295,0.83,0.1,4.999999999999449e-05,0.06027727546714224,0,Close spread compression: Take profit: Spread compressed -0.1607,compression,11265_506677_506677,0.05363439978381024,0.058213384906876185,2.928571428571428,1.0,78960.889402,near,,
46,506677,102861251382274424169759496044332990497711245941192352480270314909365364729981,No,2024-09-10,2024-09-10,0.829,0.8295,0.1,5.000000000000837e-05,0.06031363088058911,0,Spread compression: vol_spike (z=2.93) + spread_widening (Δ=0.4073),,,,,,,,far,0.05363439978381024,-0.10711174399941825
47,506677,102861251382274424169759496044332990497711245941192352480270314909365364729981,No,2024-09-10,2024-09-10,0.829,0.8305,0.1,0.00015000000000001124,0.1809408926417506,0,Close spread compression: Take profit: Spread compressed -8.7577,compression,11265_506677_506677,0.053477344215608014,0.05819094839713301,2.928571428571428,1.0,78960.889402,near,,
48,506677,102861251382274424169759496044332990497711245941192352480270314909365364729981,No,2024-09-10,2024-09-10,0.727,0.732,0.1,0.0005000000000000004,0.6877579092159566,0,Spread compression: vol_spike (z=2.93) + spread_widening (Δ=0.6914),,,,,,,,far,0.053477344215608014,-8.70425208350586
49,506677,102861251382274424169759496044332990497711245941192352480270314909365364729981,No,2024-09-10,2024-09-10,0.727,0.732,0.1,0.0005000000000000004,0.6877579092159566,0,Close spread compression: Take profit: Spread compressed -0.2693,compression,11265_506677_506677,0.33757892798580613,0.09877688893573275,2.928571428571428,1.0,78960.889402,near,,
50,506677,102861251382274424169759496044332990497711245941192352480270314909365364729981,No,2024-09-10,2024-09-10,0.733,0.8295,0.1,0.009650000000000006,13.165075034106419,0,Spread compression: vol_spike (z=2.93) + spread_widening (Δ=8.5448),,,,,,,,far,0.33757892798580613,0.06827110754496246
51,506677,102861251382274424169759496044332990497711245941192352480270314909365364729981,No,2024-09-10,2024-09-10,0.733,0.8295,0.1,0.009650000000000006,13.165075034106419,0,Close spread compression: Take profit: Spread compressed -15.8968,compression,11265_506677_506677,8.190975267620342,1.2206906517406664,2.928571428571428,1.0,78960.889402,near,,
52,506677,102861251382274424169759496044332990497711245941192352480270314909365364729981,No,2024-09-10,2024-09-10,0.74,0.745,0.1,0.0005000000000000004,0.6756756756756763,0,Spread compression: vol_spike (z=2.93) + spread_widening (Δ=0.7085),,,,,,,,far,8.190975267620342,-7.7057949300068564
53,506677,102861251382274424169759496044332990497711245941192352480270314909365364729981,No,2024-09-10,2024-09-10,0.74,0.745,0.1,0.0005000000000000004,0.6756756756756763,0,Close spread compression: Stop loss: Spread widened 6.9431,compression,11265_506677_506677,0.3546227929653156,0.10121172678994839,2.928571428571428,1.0,78960.889402,near,,
54,506677,102861251382274424169759496044332990497711245941192352480270314909365364729981,No,2024-09-10,2024-09-10,0.829,0.834,0.1,0.0005000000000000004,0.6031363088057906,0,Spread compression: vol_spike (z=2.93) + spread_widening (Δ=0.8958),,,,,,,,far,0.3546227929653156,7.297694792825933
55,506677,102861251382274424169759496044332990497711245941192352480270314909365364729981,No,2024-09-10,2024-09-10,0.829,0.834,0.1,0.0005000000000000004,0.6031363088057906,0,Close spread compression: Take profit: Spread compressed -6.8511,compression,11265_506677_506677,0.5419537157684502,0.1279732871903962,2.928571428571428,1.0,78960.889402,near,,
56,506677,102861251382274424169759496044332990497711245941192352480270314909365364729981,No,2024-09-10,2024-09-10,0.7655,0.77,0.1,0.00045000000000000595,0.5878510777269835,0,Spread compression: vol_spike (z=2.93) + spread_widening (Δ=0.7077),,,,,,,,far,0.5419537157684502,-6.309105688912801
57,502888,78716064543198671640190965997010365558410306990183191895485333112596621021612,No,2024-09-10,2024-09-10,0.974,0.9745,0.1,5.000000000000837e-05,0.0513347022587355,0,Close spread compression: Stop loss: Spread widened 1.9312,compression,11265_502888_502888,0.35462279296534405,0.20882570698399303,2.928571428571428,1.0,178541.310025,near,,
58,502889,104782151696423097548456629190175274077188300141980313731363171606793447194363,No,2024-09-10,2024-09-10,0.9825,0.9835,0.1,0.00010000000000000286,0.10178117048346347,0,Close spread compression: Take profit: Spread compressed -0.5126,compression,11265_502889_502889,1.074574631668824,0.23379172115290967,2.928571428571428,1.0,103505.495422,near,,
59,502891,106213931696984554988823780836078076936702244714965520477948569965364104310098,No,2024-09-10,2024-09-10,0.8855,0.887,0.1,0.00014999999999999736,0.16939582156973162,0,Close spread compression: Take profit: Spread compressed -0.1598,compression,11265_502891_502891,0.2408276656991859,0.022885485093598033,2.928571428571428,1.0,126957.718845,near,,
60,502891,106213931696984554988823780836078076936702244714965520477948569965364104310098,No,2024-09-10,2024-09-10,0.8875,0.8875,0.1,0.0,0.0,0,Spread compression: vol_spike (z=2.93) + spread_widening (Δ=0.3208),,,,,,,,far,0.2408276656991859,0.08098682895189313
61,502891,106213931696984554988823780836078076936702244714965520477948569965364104310098,No,2024-09-10,2024-09-10,0.885,0.8875,0.1,0.00024999999999998634,0.28248587570619926,0,Close spread compression: Take profit: Spread compressed -0.4824,compression,11265_502891_502891,0.40138978395162184,0.045822930558231736,2.928571428571428,1.0,126957.718845,near,,
62,502891,106213931696984554988823780836078076936702244714965520477948569965364104310098,No,2024-09-10,2024-09-10,0.887,0.887,0.1,0.0,0.0,0,Spread compression: vol_spike (z=2.93) + spread_widening (Δ=0.0803),,,,,,,,far,0.40138978395162184,-0.08098682895189313
63,502891,106213931696984554988823780836078076936702244714965520477948569965364104310098,No,2024-09-10,2024-09-10,0.886,0.887,0.1,9.999999999998899e-05,0.11286681715574375,0,Close spread compression: Take profit: Spread compressed -0.0799,compression,11265_502891_502891,0.16090412457035086,0.011467836360907313,2.928571428571428,1.0,126957.718845,near,,
64,502893,1135950835151598916360192425351335891766414378422696260070860669775698062579,No,2024-09-10,2024-09-10,0.9885,0.9895,0.1,0.00010000000000000286,0.10116337885685671,0,Close spread compression: Take profit: Spread compressed -6.2510,compression,11265_502893_502893,1.6613720994820937,1.6973364895218066,2.928571428571428,1.0,46922.122058,near,,
65,502893,1135950835151598916360192425351335891766414378422696260070860669775698062579,No,2024-09-10,2024-09-10,0.9865,0.9875,0.1,9.999999999998899e-05,0.10136847440444903,0,Spread compression: vol_spike (z=2.93) + spread_widening (Δ=11.6255),,,,,,,,far,1.6613720994820937,-4.589629746480085
66,502893,1135950835151598916360192425351335891766414378422696260070860669775698062579,No,2024-09-10,2024-09-10,0.9865,0.9875,0.1,9.999999999998899e-05,0.10136847440444903,0,Close spread compression: Take profit: Spread compressed -0.6600,compression,11265_502893_502893,1.4055010137485482,1.6607834772741572,2.928571428571428,1.0,46922.122058,near,,
67,502893,1135950835151598916360192425351335891766414378422696260070860669775698062579,No,2024-09-10,2024-09-10,0.988,0.9885,0.1,5.000000000000837e-05,0.050607287449401184,0,Spread compression: vol_spike (z=2.93) + spread_widening (Δ=10.9972),,,,,,,,far,1.4055010137485482,0.7455116749260924
68,502893,1135950835151598916360192425351335891766414378422696260070860669775698062579,No,2024-09-10,2024-09-10,0.988,0.9885,0.1,5.000000000000837e-05,0.050607287449401184,0,Close spread compression: Take profit: Spread compressed -1.5545,compression,11265_502893_502893,0.7772449583233509,1.5710326122134148,2.928571428571428,1.0,46922.122058,near,,
69,502893,1135950835151598916360192425351335891766414378422696260070860669775698062579,No,2024-09-10,2024-09-10,0.988,0.9925,0.1,0.00045000000000000595,0.45546558704454043,0,Spread compression: vol_spike (z=2.93) + spread_widening (Δ=18.8034),,,,,,,,far,0.7772449583233509,-0.7772449583233509
70,502893,1135950835151598916360192425351335891766414378422696260070860669775698062579,No,2024-09-10,2024-09-10,0.988,0.9925,0.1,0.00045000000000000595,0.45546558704454043,0,Close spread compression: Take profit: Spread compressed -7.3235,compression,11265_502893_502893,8.58344127910037,2.6862035151815604,2.928571428571428,1.0,46922.122058,near,,
71,502893,1135950835151598916360192425351335891766414378422696260070860669775698062579,No,2024-09-10,2024-09-10,0.993,0.992,0.1,-9.999999999998899e-05,-0.10070493454178146,0,Spread compression: vol_spike (z=2.93) + spread_widening (Δ=7.7814),,,,,,,,far,8.58344127910037,1.2599823155303085
72,502893,1135950835151598916360192425351335891766414378422696260070860669775698062579,No,2024-09-10,2024-09-10,0.993,0.992,0.1,-9.999999999998899e-05,-0.10070493454178146,0,Close spread compression: Stop loss: Spread widened 4.8772,compression,11265_502893_502893,-2.438617057805331,1.1116237527664603,2.928571428571428,1.0,46922.122058,near,,
73,502893,1135950835151598916360192425351335891766414378422696260070860669775698062579,No,2024-09-10,2024-09-10,0.993,0.994,0.1,0.00010000000000000286,0.10070493454179544,0,Spread compression: vol_spike (z=2.93) + spread_widening (Δ=13.0352),,,,,,,,far,-2.438617057805331,2.438617057805331
74,502893,1135950835151598916360192425351335891766414378422696260070860669775698062579,No,2024-09-10,2024-09-10,0.993,0.994,0.1,0.00010000000000000286,0.10070493454179544,0,Close spread compression: Stop loss: Spread widened 0.5145,compression,11265_502893_502893,2.815176790345319,1.862165731073696,2.928571428571428,1.0,46922.122058,near,,
75,502893,1135950835151598916360192425351335891766414378422696260070860669775698062579,No,2024-09-10,2024-09-10,0.995,0.9935,0.1,-0.00014999999999999736,-0.15075376884421843,0,Spread compression: vol_spike (z=2.93) + spread_widening (Δ=5.4286),,,,,,,,far,2.815176790345319,3.329647430949592
76,502893,1135950835151598916360192425351335891766414378422696260070860669775698062579,No,2024-09-10,2024-09-10,0.995,0.9935,0.1,-0.00014999999999999736,-0.15075376884421843,0,Close spread compression: Stop loss: Spread widened 6.2532,compression,11265_502893_502893,-4.791427379837401,0.7755079924761645,2.928571428571428,1.0,46922.122058,near,,
77,502895,66824320609748354374196532105631155240667076492887187568677370345228438401088,No,2024-09-10,2024-09-10,0.515,0.545,0.1,0.0030000000000000027,5.825242718446607,0,Close spread compression: Take profit: Spread compressed -1.3657,compression,11265_502895_502895,1.1660875071540548,0.1386806842370635,2.928571428571428,1.0,306662.026798,near,,
78,502897,77983082055100569954053704555963499999555412106093338976144369212880618788702,No,2024-09-10,2024-09-10,0.9715,0.972,0.1,4.999999999999449e-05,0.05146680391147142,0,Close spread compression: Stop loss: Spread widened 0.6823,compression,11265_502897_502897,0.32323852677777154,0.2360008906229447,2.928571428571428,1.0,33935.607609,near,,
79,502902,51365754189315365394286613364177468531605272861717244937158065058890317988971,No,2024-09-10,2024-09-10,0.58,0.59,0.1,0.0010000000000000009,1.7241379310344844,0,Close spread compression: Take profit: Spread compressed -0.2160,compression,11265_502902_502902,0.44008153571259356,0.09488058595294342,2.928571428571428,1.0,244247.385311,near,,
80,502902,51365754189315365394286613364177468531605272861717244937158065058890317988971,No,2024-09-10,2024-09-10,0.595,0.59,0.1,-0.0005000000000000004,-0.8403361344537823,0,Spread compression: vol_spike (z=2.93) + spread_widening (Δ=3.1028),,,,,,,,far,0.44008153571259356,0.22408256595801035
81,502902,51365754189315365394286613364177468531605272861717244937158065058890317988971,No,2024-09-10,2024-09-10,0.52,0.59,0.1,0.006999999999999992,13.461538461538444,0,Close spread compression: Take profit: Spread compressed -2.6546,compression,11265_502902_502902,2.8786985935179352,0.4432544513537065,2.928571428571428,1.0,244247.385311,near,,
82,502902,51365754189315365394286613364177468531605272861717244937158065058890317988971,No,2024-09-10,2024-09-10,0.595,0.6,0.1,0.0005000000000000004,0.8403361344537823,0,Spread compression: vol_spike (z=2.93) + spread_widening (Δ=0.4509),,,,,,,,far,2.8786985935179352,0.22408256595801035
83,502902,51365754189315365394286613364177468531605272861717244937158065058890317988971,No,2024-09-10,2024-09-10,0.595,0.6,0.1,0.0005000000000000004,0.8403361344537823,0,Close spread compression: Take profit: Spread compressed -0.4537,compression,11265_502902_502902,0.22686627147365002,0.06442126249023719,2.928571428571428,1.0,244247.385311,near,,
84,502902,51365754189315365394286613364177468531605272861717244937158065058890317988971,No,2024-09-10,2024-09-10,0.595,0.6,0.1,0.0005000000000000004,0.8403361344537823,0,Spread compression: vol_spike (z=2.93) + spread_widening (Δ=0.4509),,,,,,,,far,0.22686627147365002,-0.22686627147365002
85,502902,51365754189315365394286613364177468531605272861717244937158065058890317988971,No,2024-09-10,2024-09-10,0.595,0.6,0.1,0.0005000000000000004,0.8403361344537823,0,Close spread compression: Take profit: Spread compressed -0.4537,compression,11265_502902_502902,0.22686627147365002,0.06442126249023719,2.928571428571428,1.0,244247.385311,near,,
86,502903,96870106113869118388737395361043570183732751931044960790051822424568495868681,No,2024-09-10,2024-09-10,0.31,0.325,0.1,0.0015000000000000013,4.8387096774193585,0,Close spread compression: Take profit: Spread compressed -0.1288,compression,11265_502903_502903,0.4013897839516307,0.05734139770737582,2.928571428571428,1.0,1508246.357434,near,,
87,502905,71451149560396793026444248757976480960865083267851451290780252820427785579116,No,2024-09-10,2024-09-10,0.996,0.9965,0.1,5.000000000000837e-05,0.0502008032128598,0,Close spread compression: Take profit: Spread compressed -7.0282,compression,11265_502905_502905,2.4386170578056436,0.6967477308016125,2.928571428571428,1.0,326463.926258,near,,
88,502905,71451149560396793026444248757976480960865083267851451290780252820427785579116,No,2024-09-10,2024-09-10,0.9955,0.996,0.1,4.999999999999449e-05,0.05022601707684027,0,Spread compression: vol_spike (z=2.93) + spread_widening (Δ=4.5896),,,,,,,,far,2.4386170578056436,-4.5896297464800995
