trade_id,market_id,token_id,outcome,entry_date,exit_date,entry_price,exit_price,size,pnl,return_pct,holding_period_days,reason
12,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-03,2026-01-04,0.9,0.89,-23.0,0.23000000000000043,0.0,1,Market resolved
13,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-04,2026-01-05,0.89,0.895,-23.0,-0.11500000000000199,0.0,1,Market resolved
14,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-05,2026-01-06,0.89,0.875,-23.0,0.34499999999999886,0.0,1,Market resolved
15,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-06,2026-01-07,0.895,0.785,-23.0,2.530000000000001,0.0,1,Market resolved
16,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-07,2026-01-08,0.875,0.855,-23.0,0.46000000000000085,0.0,1,Market resolved
17,1029718,25910894345956596034055194053902797224864476495849740190392846065476652661942,No,2025-12-29,2026-01-09,0.555,0.0005,-39.0,21.625500000000002,0.0,11,Market resolved
18,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-08,2026-01-09,0.74,0.895,-28.0,-4.340000000000003,0.0,1,Market resolved
19,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-09,2026-01-10,0.855,0.84,-25.0,0.375,0.0,1,Market resolved
20,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-10,2026-01-11,0.895,0.835,-23.0,1.3800000000000026,0.0,1,Market resolved
21,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-11,2026-01-12,0.84,0.865,-24.0,-0.5999999999999979,0.0,1,Market resolved
22,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-12,2026-01-13,0.835,0.85,-24.0,-0.35999999999999943,0.0,1,Market resolved
23,1175504,25079398794887361514757784810470550115797860603410898547838412751055328516495,No,2026-01-13,2026-01-14,0.855,0.9995,-10.0,-1.4450000000000003,0.0,1,Market resolved
24,573826,47582783118267191633152911212012788210273653809282862153061153197881397810399,No,2026-01-13,2026-01-14,0.865,0.855,-23.0,0.23000000000000043,0.0,1,Market resolved
25,916438,4182299088772200443833100336072978652292817467119079090314787040233456705100,No,2025-12-13,2026-01-15,0.655,0.0005,-31.0,20.2895,0.0,33,Market resolved
